"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7708","Задания. Переход из тренажера ученика (не присоединен) в тренажер учителя (авторизован)","default","Sat Feb 28 15:35:17 UTC 2026","passed","Sat Feb 28 15:35:25 UTC 2026","Tests Tasks Educonts- student","","",""
"","17643","Использование подсказок в задании (раннер)","default","Sat Feb 28 15:25:36 UTC 2026","passed","Sat Feb 28 15:25:53 UTC 2026","Tests Student(parent) Catalog Tasks","","",""
"","6896","Категории. Перейти под одним токеном из категории в урок с заданиями","default","Sat Feb 28 15:35:46 UTC 2026","passed","Sat Feb 28 15:35:53 UTC 2026","Tests Category Educonts- student","","",""
"","12192","Категории. Переход из тренажера учителя (авторизованный) в тренажер ученика (не присоединен)","default","Sat Feb 28 15:32:05 UTC 2026","passed","Sat Feb 28 15:32:17 UTC 2026","Tests Category Educonts","","",""
"","50213","Категория. Старый учитель. Авторизоваться по данным эдуконт(логин/пароль)","default","Sat Feb 28 15:31:39 UTC 2026","broken","Sat Feb 28 15:32:29 UTC 2026","Tests Category Educonts","","",""
"","6140","Категории. Перейти под одним токеном из категории в курс","default","Sat Feb 28 15:35:53 UTC 2026","passed","Sat Feb 28 15:35:59 UTC 2026","Tests Category Educonts- student","","",""
"","17683","Создание учителя-Educont в школе Educont","default","Sat Feb 28 15:27:36 UTC 2026","passed","Sat Feb 28 15:27:54 UTC 2026","Preparations","","",""
"","50266","Категории. Войти в категории по ссылке и ввести код от учителя","default","Sat Feb 28 15:36:04 UTC 2026","broken","Sat Feb 28 15:36:55 UTC 2026","Tests Category Educonts- student","","",""
"","17025","Покупка заданий по карте","default","Sat Feb 28 15:24:30 UTC 2026","passed","Sat Feb 28 15:24:47 UTC 2026","Tests Indep Student Catalog Tasks","","",""
"","11708","Курс. Решить неверно задание с типом Вопрос (введен код от учителя)","default","Sat Feb 28 15:33:27 UTC 2026","passed","Sat Feb 28 15:33:38 UTC 2026","Tests Course Educonts- student","","",""
"","50295","Задания. Переход из тренажера ученика (присоединен) в тренажер учителя (не авторизован)","default","Sat Feb 28 15:35:13 UTC 2026","broken","Sat Feb 28 15:36:03 UTC 2026","Tests Tasks Educonts- student","","",""
"","50147","Курс. Старый учитель. Авторизоваться по почте и паролю. Демо","default","Sat Feb 28 15:30:01 UTC 2026","broken","Sat Feb 28 15:30:51 UTC 2026","Tests Course Educonts","","",""
"","6569","Задание. Использовать подсказку(ученик не присоединен по коду)","default","Sat Feb 28 15:34:51 UTC 2026","passed","Sat Feb 28 15:34:58 UTC 2026","Tests Tasks Educonts- student","","",""
"","11606","Просмотр задания в каталоге","default","Sat Feb 28 15:22:34 UTC 2026","failed","Sat Feb 28 15:22:46 UTC 2026","Tests Parent Catalog Tasks","","",""
"","19649","Поиск заданий","default","Sat Feb 28 15:25:16 UTC 2026","passed","Sat Feb 28 15:25:35 UTC 2026","Tests Student(parent) Catalog Tasks","","",""
"","13141","Открытие раннера из предмета","default","Sat Feb 28 15:27:14 UTC 2026","passed","Sat Feb 28 15:27:27 UTC 2026","Tests Teacher Catalog Tasks","","",""
"","6941","Задание. Использовать подсказку(ученик присоединен по коду)","default","Sat Feb 28 15:34:49 UTC 2026","passed","Sat Feb 28 15:34:56 UTC 2026","Tests Tasks Educonts- student","","",""
"","12208","Выбор фильтров","default","Sat Feb 28 15:26:51 UTC 2026","passed","Sat Feb 28 15:27:03 UTC 2026","Tests Teacher Catalog Tasks","","",""
"","7924","Задание. Узнать информацию об уроке(ученик присоединен по коду)","default","Sat Feb 28 15:34:11 UTC 2026","passed","Sat Feb 28 15:34:19 UTC 2026","Tests Tasks Educonts- student","","",""
"","9970","Категории. Перейти под одним токеном из урока типа Категория в другие типы уроков Эдуконт","default","Sat Feb 28 15:35:59 UTC 2026","passed","Sat Feb 28 15:36:09 UTC 2026","Tests Category Educonts- student","","",""
"","0","Родитель: Авторизация по email и коду с почты","default","Sat Feb 28 15:20:27 UTC 2026","skipped","Sat Feb 28 15:20:27 UTC 2026","Tests: Landing autorization","","",""
"","17371","Покупка заданий по карте","default","Sat Feb 28 15:23:39 UTC 2026","failed","Sat Feb 28 15:23:56 UTC 2026","Tests Parent Shop Page","","",""
"","9099","Курсы. Переход из тренажера учителя (авторизованный) в тренажер ученика (не присоединен)","default","Sat Feb 28 15:31:15 UTC 2026","passed","Sat Feb 28 15:31:24 UTC 2026","Tests Course Educonts","","",""
"","9689","Курс. Решение задания с типом Вопрос (код от учителя не введен)","default","Sat Feb 28 15:32:45 UTC 2026","passed","Sat Feb 28 15:32:55 UTC 2026","Tests Course Educonts- student","","",""
"","50166","Вход в аккаунт учителя(тестовый) для Educont","default","Sat Feb 28 15:27:58 UTC 2026","broken","Sat Feb 28 15:28:48 UTC 2026","Tests Tasks Educonts","","",""
"","12806","Курсы. Переход из тренажера учителя (не авторизованный) в тренажер ученика (присоединен)","default","Sat Feb 28 15:31:24 UTC 2026","failed","Sat Feb 28 15:31:37 UTC 2026","Tests Course Educonts","","",""
"","50323","Показать ответ при выполнении задания","default","Sat Feb 28 15:25:39 UTC 2026","broken","Sat Feb 28 15:26:29 UTC 2026","Tests Student(parent) Catalog Tasks","","",""
"","5881","Добавление учеников в класс страница ""Школы""","default","Sat Feb 28 15:27:54 UTC 2026","passed","Sat Feb 28 15:28:00 UTC 2026","Tests Tasks Educonts","","",""
"","17078","Самостоятельный ученик: Авторизация по email и паролю","default","Sat Feb 28 15:19:59 UTC 2026","passed","Sat Feb 28 15:20:16 UTC 2026","Tests: All users autorization","","",""
"","11205","Добавление ученика в класс при создании задания","default","Sat Feb 28 15:26:23 UTC 2026","passed","Sat Feb 28 15:26:35 UTC 2026","Tests Teacher Cabinet","","",""
"","5072","Открытие раздела курса: 9 класс. Вероятность и статистика","default","Sat Feb 28 15:28:06 UTC 2026","passed","Sat Feb 28 15:28:11 UTC 2026","Tests Tasks Educonts","","",""
"","10213","Смена ученика в хедере","default","Sat Feb 28 15:23:19 UTC 2026","failed","Sat Feb 28 15:23:29 UTC 2026","Tests Parent Catalog Tasks","","",""
"","8424","Редактирование ученика/учеников в классе","default","Sat Feb 28 15:26:42 UTC 2026","passed","Sat Feb 28 15:26:50 UTC 2026","Tests Teacher Cabinet","","",""
"","50117","Учитель: Авторизация по логину и паролю","default","Sat Feb 28 15:21:09 UTC 2026","broken","Sat Feb 28 15:22:00 UTC 2026","Tests: Landing autorization","","",""
"","9771","Категория. Сохранение авторизации при удалении токенов из Cookie","default","Sat Feb 28 15:31:55 UTC 2026","passed","Sat Feb 28 15:32:04 UTC 2026","Tests Category Educonts","","",""
"","7391","Курс. Сохранение авторизации при удалении токенов из Cookie","default","Sat Feb 28 15:33:39 UTC 2026","passed","Sat Feb 28 15:33:47 UTC 2026","Tests Course Educonts- student","","",""
"","50178","Самостоятельный ученик: Авторизация по email и паролю","default","Sat Feb 28 15:21:16 UTC 2026","broken","Sat Feb 28 15:22:06 UTC 2026","Tests: Landing autorization","","",""
"","8350","Создание класса в ""Управление классами""","default","Sat Feb 28 15:26:01 UTC 2026","passed","Sat Feb 28 15:26:09 UTC 2026","Tests Teacher Cabinet","","",""
"","5674","Категория. Открытие категории не авторизованным учителем","default","Sat Feb 28 15:31:33 UTC 2026","passed","Sat Feb 28 15:31:38 UTC 2026","Tests Category Educonts","","",""
"","20178","Удаление из класса ученика, который ввел код приглашения","default","Sat Feb 28 15:26:31 UTC 2026","passed","Sat Feb 28 15:26:51 UTC 2026","Tests Teacher Cabinet","","",""
"","8063","Курс. Управление учениками","default","Sat Feb 28 15:30:58 UTC 2026","passed","Sat Feb 28 15:31:07 UTC 2026","Tests Course Educonts","","",""
"","15624","Покупка Предмета по карте","default","Sat Feb 28 15:23:21 UTC 2026","failed","Sat Feb 28 15:23:37 UTC 2026","Tests Parent Shop Page","","",""
"","11019","Удаление учителя-Educont в школе Educont","default","Sat Feb 28 15:37:13 UTC 2026","passed","Sat Feb 28 15:37:24 UTC 2026","End tests Educont: Teacher","","",""
"","8077","Курс. Вопросы-Демолинк","default","Sat Feb 28 15:30:52 UTC 2026","passed","Sat Feb 28 15:31:00 UTC 2026","Tests Course Educonts","","",""
"","15690","Покупка заданий по карте","default","Sat Feb 28 15:25:02 UTC 2026","failed","Sat Feb 28 15:25:18 UTC 2026","Tests Indep Student Shop Page","","",""
"","0","Самостоятельный ученик: Авторизация по ссылке","default","Sat Feb 28 15:22:00 UTC 2026","skipped","Sat Feb 28 15:22:00 UTC 2026","Tests: Landing autorization","","",""
"","9017","Задание: Использование подсказок в задании (раннер)","default","Sat Feb 28 15:29:20 UTC 2026","passed","Sat Feb 28 15:29:29 UTC 2026","Tests Tasks Educonts","","",""
"","7823","Категории. Переход из тренажера ученика (не присоединен) в тренажер учителя (авторизован)","default","Sat Feb 28 15:36:56 UTC 2026","passed","Sat Feb 28 15:37:04 UTC 2026","Tests Category Educonts- student","","",""
"","6805","Добавление ученика в заполненный класс","default","Sat Feb 28 15:26:08 UTC 2026","passed","Sat Feb 28 15:26:15 UTC 2026","Tests Teacher Cabinet","","",""
"","0","Учитель: Авторизация по email и коду с почты","default","Sat Feb 28 15:21:15 UTC 2026","skipped","Sat Feb 28 15:21:15 UTC 2026","Tests: Landing autorization","","",""
"","14222","Задание: Баннер перехода в курс программирования, авторизованным учителем","default","Sat Feb 28 15:29:26 UTC 2026","passed","Sat Feb 28 15:29:40 UTC 2026","Tests Tasks Educonts","","",""
